original-id,name-tr,name-alt-tr,address-tr,country-tr,province-tr,district-tr,sub-district-tr,locality-tr,street-tr,street-side-tr,house,address-add-tr,landmark-tr,lon,lat,phone,url,rubric-id,working-time,actualization-date,rubric-keys,source-url,rubric-tr,chain-id
,Kahve Dünyası - Samsun Piazza Avm,,Yeni Mah. Eski Otogar Mevki Çarşamba Cad. Piazza No:52 K:Giriş 55080 Canik,Türkiye,Samsun,,,,,,,,,36.353807,41.276524,+90 (362) 2903393,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Gaziantep Forum AVM,,Yaprak Mah. İstasyon Cad. Forum Gaziantep No:76 K:1 D:17 27000 Şehitkamil,Türkiye,Gaziantep,,,,,,,,,37.380551,37.069911,+90 (342) 5011145,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Gaziantep Sanko Park AVM,,Sarıgüllük Mah. İsmet Rafet İşitmen Cad. Sanko Park Alışveriş Merkezi No: 223 K: Giriş D: 47-48 27060 Şehitkamil,Türkiye,Gaziantep,,,,,,,,,37.361331,37.063165,+90 (342) 3364033,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Konya Kent Plaza AVM,,Bedir Mah. Ataseven Cad. Konya Kentplaza Alışveriş ve Yaşam Merkezi No:2 K:Zemin D:1 42100 Selçuklu,Türkiye,Konya,,,,,,,,,32.494865,37.905741,+90 (332) 2902904,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Aydın Forum AVM,,Orta Mah. Müze Bulv. Forum Aydın No:1 K:2 D:5-6 9000 Merkez,Türkiye,Aydın,,,,,,,,,27.861101,37.846181,+90 (256) 2320311,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Didim Marina,,Didim Marina Çamlık Mevki 3. Koy 9270 Didim (Yenihisar),Türkiye,Aydın,,,,,,,,,27.259525,37.339681,+90 (256) 8137721,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kuşadası Marina,,Seturmarinas Yat Limanı Bağımsız Bölüm Atatürk Bulv. Kuşadası Marina Alışveriş Merkezi D:101/C-D 9400 Kuşadası,Türkiye,Aydın,,,,,,,,,27.263881,37.868214,+90 (256) 6180375,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kayseri Forum AVM,,Hunat Mah. Sivas Cad. Forum Kayseri No:24/1 K:Giriş 38030 Melikgazi,Türkiye,Kayseri,,,,,,,,,35.497103,38.723136,+90 (352) 2313441,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bodrum Marina,,Neyzen Tevfik Cad. 5. Marina Çarşısı D:41-42 48400 Bodrum,Türkiye,Muğla,,,,,,,,,27.421901,37.034746,+90 (252) 3132587,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bodrum Yalıkavak,,Merkez Mah. Gür Cad. D: 3-4-5-6 48990 Bodrum,Türkiye,Muğla,,,,,,,,,27.292761,37.105521,+90 (252) 3855842,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Fethiye Erasta AVM,,Taşyaka Mah. Ölüdeniz Cad. Erasta Alışveriş Merkezi No: 14 48300 Fethiye,Türkiye,Muğla,,,,,,,,,29.132136,36.622576,+90 (252) 6125581,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Marmaris Marina,,Marmaris Marina Günlücek Yolu 48700 Marmaris,Türkiye,Muğla,,,,,,,,,28.278164,36.853347,+90 (252) 4129600,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Turgutreis Marina,,Gazi Mustafa Kemal Bulv. D:26 48960 Bodrum,Türkiye,Muğla,,,,,,,,,27.257943,37.005215,+90 (252) 3820772,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ankara 365 AVM,,Birlik Mah. 428. Cad. 365 Alışveriş Merkezi No:41 K:1 6550 Çankaya,Türkiye,Ankara,,,,,,,,,32.870008,39.875674,+90 (312) 4500430,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ankara Armada AVM,,Eskişehir Yolu Armada Alışveriş ve İş Merkezi No:6 K:Zemin 6430 Çankaya,Türkiye,Ankara,,,,,,,,,32.809021,39.912703,+90 (312) 2191819,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ankara Beğendik AVM,,Dr. Mediha Eldem Sok. Beğendik No:72 6420 Çankaya,Türkiye,Ankara,,,,,,,,,32.860487,39.917426,+90 (312) 4195013,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ankara Tunalı Hilmi D&R,,İran Cad. No:7 6680 Çankaya,Türkiye,Ankara,,,,,,,,,32.862424,39.900354,+90 (312) 4264541,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ankara Uğur Mumcu,,Büyükesat Mah. Uğur Mumcu Cad. No:71 6830 Çankaya,Türkiye,Ankara,,,,,,,,,32.877241,39.894131,+90 (312) 4379956,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Optimum AVM,,Etiler Mah. Ayaş Ankara Yolu Bulv. Optimum Outlet No: 93 D: Z38 6930 Etimesgut,Türkiye,Ankara,,,,,,,,,32.631819,39.965377,+90 (312) 2802737,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Denizli Forum AVM,,Mehmetçik Mah. Doğan Demircioğlu Cad. Forum Çamlık No:2 K:Giriş 20000 Merkez,Türkiye,Denizli,,,,,,,,,29.089833,37.753726,+90 (258) 2123886,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - İzmir Agora AVM,,Mithat Paşa Cad. Agora Alışveriş Merkezi No:1446 K:1 D:184 35330 Balçova,Türkiye,İzmir,,,,,,,,,27.053719,38.394937,+90 (232) 2787701,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - İzmir Swiss Otel,,Şehit Nevres Bulv. Grand Swiss Otel No:2 35220 Konak,Türkiye,İzmir,,,,,,,,,27.136801,38.42858,+90 (232) 4831224,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Gebze Center AVM,,Tatlıkuyu Mah. Güney Yanyol Cad. Gebze Center Alışveriş Merkezi No:310 K:Giriş D:310-304 41400 Gebze,Türkiye,Kocaeli(İzmit),,,,,,,,,29.442307,40.795407,+90 (262) 6451545,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - İzmit,,Karabaş Mah. Şehabettin Bilgisu Cad. Cabesoy Sok. No:16 41000 Merkez,Türkiye,Kocaeli(İzmit),,,,,,,,,29.932398,40.762918,+90 (262) 3312502,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - İzmit Yahyakaptan,,Yahya Kaptan Mah. Akasyalar Cad. Arasta Park No:24 K:Zemin D:8 41050 İzmit,Türkiye,Kocaeli(İzmit),,,,,,,,,29.97693,40.76677,+90 (262) 3112188,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bursa Anatolium AVM,,Alaşar Mah. Yeni Yalova Cad. Anatolium Alışveriş Merkezi No:487 K:Zemin 16010 Osmangazi,Türkiye,Bursa,,,,,,,,,29.053987,40.267484,+90 (224) 2611450,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bursa Kent Meydanı,,Santral Garaj Mah. Kıbrıs Şehitleri Cad. Kent Meydanı Alışveriş Merkezi No:64 K:Giriş D:J3/1 16010 Osmangazi,Türkiye,Bursa,,,,,,,,,29.060192,40.19714,+90 (224) 2553347,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bursa Korupark AVM,,Mudanya Yolu 9. Km. Korupark Alışveriş Merkezi No:2 K:3 D:197 16150 Osmangazi,Türkiye,Bursa,,,,,,,,,28.958833,40.250585,+90 (224) 2412341,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bursa Zafer Plaza AVM,,Şehreküstü Mah. Cemal Nadir Cad. Zafer Plaza Alışveriş ve Yaşam Merkezi No:22-28 K:-2 16010 Osmangazi,Türkiye,Bursa,,,,,,,,,29.059433,40.187529,+90 (224) 2252929,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası Bursa Podyum Park AVM,,Cumhuriyet Mah. Nilüfer Hatun Cad. No: 114  16110 Nilüfer,Türkiye,Bursa,,,,,,,,,28.966231,40.225811,+90 (224) 4515495,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Adapazarı Agora AVM Kahve Dünyası,,Arabacı Mah. Eski  Kazım Paşa Cad. No:14 Zemin Kat 54055 Serdivan,Türkiye,Sakarya(Adapazarı),,,,,,,,,30.2252,40.4633,+90 (264) 5020023,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Adapazarı Ada Center AVM,,Yeni Sakarya Cad. Ada Alışveriş Merkezi No:324 K:Zemin D:25 54200 Erenler,Türkiye,Sakarya(Adapazarı),,,,,,,,,30.413578,40.745702,+90 (264) 2421163,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Serdivan AVM,,Arabacı Alanı Mah. Mehmet Akif Ersoy Cad. Serdivan Alışveriş Merkezi K:Zemin D:25 54130 Serdivan,Türkiye,Sakarya(Adapazarı),,,,,,,,,30.365694,40.778348,+90 (264) 7771367,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Eskişehir Anadolu Üniversitesi,,Yenibağlar Mah. Anadolu Üniversitesi Yunusemre Kampüsü D:3 26120 Tepebaşı,Türkiye,Eskişehir,,,,,,,,,30.499199,39.790286,+90 (222) 3357312,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Eskişehir Espark AVM,,Eski Bağlar Mah. Fabrikalar Sok. No:3 26120 Merkez,Türkiye,Eskişehir,,,,,,,,,30.509343,39.782229,+90 (222) 3330570,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Eskişehir Kanatlı AVM,,İsmet İnönü Cad. Kanatlı Alışveriş Merkezi No:57 K:Zemin D:1-2 26000 Merkez,Türkiye,Eskişehir,,,,,,,,,30.513705,39.778923,+90 (222) 2207919,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Eskişehir Özdilek AVM,,Hoşnudiye Mah. Doğruer Sok. Özdilek Alışveriş Merkezi No:1 K:Giriş 26130 Tepebaşı,Türkiye,Eskişehir,,,,,,,,,30.497176,39.784087,+90 (222) 3303720,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası Eskişehir Osmangazi Al-Götür,,Yıldız Mah.Osmangazi Üni. Meşeli Kampüsü Osmangazi Merkez Çarşı No:4/54F A BLOK 26040 Odunpazarı,Türkiye,Eskişehir,,,,,,,,,30.488096,39.754372,+90 (222) 2290040,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kahramanmaraş Piazza AVM,,Şazibey Mah. Eski Otogar Mevki Batı Çevre Yolu Piazza No:4 K:Zemin D:14/A 46040 Kahramanamaraş,Türkiye,Kahramanmaraş,,,,,,,,,36.922601,37.570323,+90 (344) 2354032,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Antalya-Migros,,Meltem Mah. 100. Yıl Bulv. Migros Alışveriş Merkezi No:155/C 7070 Muratpaşa,Türkiye,Antalya,,,,,,,,,30.659499,36.882646,+90 (242) 2301625,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - MarkAntalya Avm,,Tahıl Pazarı Mah. Kazım Özalp Cad. MarkAntalya No:88 K:Giriş D:10-11-12 7040 Muratpaşa,Türkiye,Antalya,,,,,,,,,30.704061,36.893115,+90 (242) 2408370,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - 4.Levent Metro,,Konaklar Mah. Büyükdere Cad. 34330 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.006781,41.086828,+90 (212) 2833974,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Acıbadem,,Acıbadem Mah. Acıbadem Cad. No:168/A 34660 Üsküdar,Türkiye,İstanbul,,,,,,,,,29.050539,41.008925,+90 (216) 3257171,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Akaretler,,Vişnezade Mah. Şair Nedim Cad. No:13-15-17-19 34353 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.002634,41.042619,+90 (212) 3274234,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Akasya Avm,,Acıbadem Mah. Ankara Devlet Yolu Haydarpaşa Yönü 4. Km Çeçen Sok. Akasya Acıbadem K:2 34660 Üsküdar,Türkiye,İstanbul,,,,,,,,,29.054822,41.001523,+90 (216) 5106467,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Akbatı AVM,,Sanayi Mah. 1655. Sok. No:6 D:2CD7 34535 Esenyurt,Türkiye,İstanbul,,,,,,,,,28.666875,41.055594,+90 (212) 7775220,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Akmerkez Macro,,Nispetiye Cad. Akmerkez Alışveriş Merkezi Macro Center F Blok No:56 D:325 34337 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.027077,41.076925,+90 (212) 2820310,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Aksaray Metro,,Adnan Menderes Bulv. No:4 34093 Fatih,Türkiye,İstanbul,,,,,,,,,28.948843,41.011258,+90 (212) 6217234,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Alkım,,Osmanağa Mah. Neşet Ömer Sok. Alkım Kitabevi No:23-25 34714 Kadıköy,Türkiye,İstanbul,,,,,,,,,29.022266,40.989263,+90 (216) 3382110,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Armonipark AVM,,Tevfik Bey Mah. Halkalı Cad. ArmoniPark Outlet Center No:132 K:1 D:73 34295 Küçükçekmece,Türkiye,İstanbul,,,,,,,,,28.796785,41.006812,+90 (212) 4260260,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ataköy AVM,,6. Kısım Adnan Kahveci Bulv. Ataköy Plus Alışveriş Merkezi No:3 K:Giriş 34158 Bakırköy,Türkiye,İstanbul,,,,,,,,,28.85031,40.978481,+90 (212) 6618379,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ataköy Marina,,Ataköy Marina Park Rauf Orbay Cad. Sahil Yolu No:16 D:17 34158 Bakırköy,Türkiye,İstanbul,,,,,,,,,28.877429,40.972746,+90 (212) 6617578,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ataköy Metro,,9. Kısım Mah. Hanımeli Sok. 34158 Bakırköy,Türkiye,İstanbul,,,,,,,,,28.845591,40.991293,+90 (212) 5604791,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Ataşehir -Migros,,Turgut Özal Cad. MMM Migros No:12 34758 Ataşehir,Türkiye,İstanbul,,,,,,,,,29.126975,40.992203,+90 (216) 4561391,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bahçeşehir Şehr-i Bazaar,,Dereköy Mevki Süzer Bulv. 3. Cad. Şehr-i Bazaar Alışveriş Merkezi K:1 D:1 34538 Başakşehir,Türkiye,İstanbul,,,,,,,,,28.687824,41.060871,+90 (212) 6691353,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Beylikdüzü Migros,,Beylikdüzü Mah. E-5 Karayolu Migros Alışveriş Merkezi K:Zemin 34520 Beylikdüzü,Türkiye,İstanbul,,,,,,,,,28.6582,41.0079,+90 (212) 8540610,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Bostancı,,Şemsettin Günaltay Cad. No:18 D:1-2 34744 Kadıköy,Türkiye,İstanbul,,,,,,,,,29.094929,40.959366,+90 (216) 4102960,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Büyükada,,Nizam Mah. 23 Nisan Cad. No:32 34970 Adalar,Türkiye,İstanbul,,,,,,,,,29.126112,40.873060,+90 (216) 3828399,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Büyükçekmece Atirus AVM,,Fatih Mah. Londra Asfaltı Atirus Alışveriş Merkezi No:40 K:3 34500 Büyükçekmece,Türkiye,İstanbul,,,,,,,,,28.583888,41.021252,+90 (212) 8815311,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Cevahir AVM,,Büyükdere Cad. İstanbul Cevahir Alışveriş ve Eğlence Merkezi No:22 K:6 D:603 34381 Şişli,Türkiye,İstanbul,,,,,,,,,28.993025,41.062624,+90 (212) 3801670,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Dalyan,,Fenerbahçe Mah. Dr. Faruk Ayanoğlu Cad. No:22 D:1-2 34726 Kadıköy,Türkiye,İstanbul,,,,,,,,,29.045974,40.974208,+90 (216) 3374403,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Doğuş Holding,,Huzur Mah. Ayazağa Köyü Yolu Doğuş Grubu No:10 D:12 34396 Şişli,Türkiye,İstanbul,,,,,,,,,29.000472,41.110824,+90 (212) 2890310,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Elmadağ,,Harbiye Mah. Cumhuriyet Cad. No:40/A 34367 Şişli,Türkiye,İstanbul,,,,,,,,,28.986611,41.042309,+90 (212) 2344979,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Eminönü,,Asmaaltı Cad. Kızıl Han Sok. No:18 D:1 34080 Fatih,Türkiye,İstanbul,,,,,,,,,28.96927,41.017575,+90 (212) 5200204,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Garanti Bankası Genel Müdürlük,,Nispetiye Mah. Aytar Cad. No:2 34340 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.016587,41.072602,+90 (212) 2138656,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Garanti Eğitim Müdürlüğü,,Dikilitaş Mah. Emirhan Cad. B Blok No:111 34349 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.007803,41.058385,+90 (212) 2362990,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Gayrettepe Metro,,Gayrettepe Mah. Büyükdere Cad. 34349 Şişli,Türkiye,İstanbul,,,,,,,,,29.010579,41.068968,+90 (212) 2168868,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Göztepe,,Bağdat Cad. Handan Palas Apt. No:259 34730 Kadıköy,Türkiye,İstanbul,,,,,,,,,29.059677,40.971579,+90 (216) 4670005,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - İstanbul Forum AVM,,Kocatepe Mah. Şehir Parkı Cad. 12. Sok. Forum İstanbul K:Giriş 34045 Bayrampaşa,Türkiye,İstanbul,,,,,,,,,28.897571,41.046613,+90 (212) 4373413,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - İstanbul Ticaret Üniversitesi,,Sütlüce Mah. İstanbul Ticaret Üniversitesi İmrahor Cad. No:9 34445 Beyoğlu,Türkiye,İstanbul,,,,,,,,,28.95099,41.058054,+90 (212) 2220104,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - İstinye Migros,,İstinye Mah. Çayır Cad. No:65 34360 Sarıyer,Türkiye,İstanbul,,,,,,,,,29.049981,41.115799,+90 (212) 2294724,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kabataş,,Meclisi Mebusan Cad. Tütün Han No:167 34420 Beyoğlu,Türkiye,İstanbul,,,,,,,,,28.991144,41.033063,+90 (212) 2931206,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kabataş Metro,,Ömer Avni Mah. Mebusan Cad. İnebolu Sok. 34427 Beyoğlu,Türkiye,İstanbul,,,,,,,,,28.991243,41.033235,+90 (212) 2448620,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kanyon D&R,,Büyükdere Cad. Kanyon Alışveriş Merkezi No:185 K:K1 34330 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.010638,41.078271,+90 (212) 3531333,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kanyon Macro,,Büyükdere Cad. Kanyon Alışveriş Merkezi No:185 K:B2 34330 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.010638,41.078271,+90 (212) 3530570,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kanyon Macro,,Büyükdere Cad. Kanyon Alışveriş Merkezi No:185 K:B2 34330 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.010638,41.078271,+90 (212) 3530570,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kemerburgaz,,Mithat Paşa Mah. İstanbul Cad. Selanik Bulv. No:11 34065 Eyüp,Türkiye,İstanbul,,,,,,,,,28.911582,41.154594,+90 (212) 3600798,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Levent,,Levent Mah. Gonca Sok. No:13 34330 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.01714,41.075687,+90 (212) 2847963,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Levent Metro,,Büyükdere Cad. 34330 Beşiktaş,Türkiye,İstanbul,,,,,,,,,29.013323,41.077776,+90 (212) 2833542,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Mall Of İstanbul,,Süleyman Demirel Bulv. Mall Of İstanbul D: 288/A 34306 Başakşehir,Türkiye,İstanbul,,,,,,,,,28.807277,41.063231,+90 (212) 8010517,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Maltepe Park Carrefour AVM,,Cevizli Mah. Tugay Yolu Maltepe Park Alışveriş Merkezi No:67 K:3 34840 Maltepe,Türkiye,İstanbul,,,,,,,,,29.163744,40.919378,+90 (216) 5151248,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Marmara Forum AVM,,Osmaniye Mah. Çobançeşme Koşuyolu Bulv. Marmara Forum Alışveriş Merkezi No: 3 K: 2 34144 Bakırköy,Türkiye,İstanbul,,,,,,,,,28.886037,40.996913,+90 (212) 4666153,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Mecidiyeköy Rönesans,,Mecidiyeköy Mah. Cemal Sahir Sok. Rönesans Mecidyeköy Plaza No:7 D:9 34387 Şişli,Türkiye,İstanbul,,,,,,,,,29.001068,41.067727,+90 (212) 3470410,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Merter Metro,,E-5 Karayolu 34160 Güngören,Türkiye,İstanbul,,,,,,,,,28.896146,41.007702,+90 (212) 4828707,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Merter-Migros,,E-5 Karayolu Merter Sapağı MMM Migros 34160 Güngören,Türkiye,İstanbul,,,,,,,,,28.894638,41.006538,+90 (212) 4828293,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Metroport AVM,,Eski Londra Asfaltı Kültür Sok. MetroPort Alışveriş ve Yaşam Merkezi No:1 D:50 34180 Bahçelievler,Türkiye,İstanbul,,,,,,,,,28.862531,40.995747,+90 (212) 4427753,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
